"","X.2","X.1","X","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","max_canopy_height_cm","Width_cm","Width_2_cm","Stem_diameter","Length_1_mm","Length_2_mm","Length_3_mm","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","SampleID_standard","biovolume","Sample_age","mean_stem_elong","mean_leaf_length","mean_width","population"
"61",1434,1434,1434,"AB","H17Sp18",2017,"Salix pulchra","Qikiqtaruk","2019-08-23",8,23,2019,4.5,NA,NA,NA,20.91,20.13,17.23,11.85,19.37,18,"H17SP18",NA,2,16.4066666666667,19.4233333333333,NA,"Northern"
"62",882,882,882,"AB","H17Sp20",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,5.5,NA,NA,NA,28.18,21.23,15.28,1.95,7.02,0.39,"H17SP20",NA,1,3.12,21.5633333333333,NA,"Northern"
"63",2096,2354,2354,"IMS","H17Sp3",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,42,2.9,2.2,10,NA,NA,NA,6,10,4,"H17SP3",267.96,3,6.66666666666667,NA,2.55,"Northern"
"64",886,886,886,"IMS","H17Sp6",2017,"Salix pulchra","Qikiqtaruk","2018-08-18",8,18,2018,9.3,NA,NA,NA,33.08,34.26,29.9,2.8,2.61,2.21,"H17SP6",NA,1,2.54,32.4133333333333,NA,"Northern"
"65",2707,2040,2040,"IMS","H17Sp7",2017,"Salix pulchra","Qikiqtaruk","2021-08-09",8,9,2021,3.6,4.3,1.2,7,16,17,17,16,13,6,"H17SP7",18.576,4,11.6666666666667,16.6666666666667,2.75,"Northern"
"66",2102,2360,2360,"CF","H17Sp9",2017,"Salix pulchra","Qikiqtaruk","2020-08-19",8,19,2020,16.6,12.2,6.6,8,25,29,32,24,21,35,"H17SP9",1336.632,3,26.6666666666667,28.6666666666667,9.4,"Northern"
"67",1445,1445,1445,"LB","H17Sr1",2017,"Salix richardsonii","Qikiqtaruk","2019-08-23",8,23,2019,19.2,NA,NA,NA,NA,NA,NA,14.35,10.96,17.33,"H17SR1",NA,2,14.2133333333333,NA,NA,"Northern"
"68",2710,2043,2043,"GD","H17Sr10",2017,"Salix richardsonii","Qikiqtaruk","2021-08-09",8,9,2021,12,20,19,11,30,29,28,42,40,23,"H17SR10",4560,4,35,29,19.5,"Northern"
"69",2982,2982,2982,"GD","H17Sr12",2017,"Salix richardsonii","Qikiqtaruk","2022-08-16",8,17,2022,6,11,9,12,21,26,16,37,41,19,"H17SR12",594,5,32.3333333333333,21,10,"Northern"
"70",894,894,894,"GD","H17Sr13",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,14.4,NA,NA,NA,25.56,20.91,17.42,9.32,4.61,3.84,"H17SR13",NA,1,5.92333333333333,21.2966666666667,NA,"Northern"
"71",896,896,896,"GD","H17Sr15",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,20.9,NA,NA,NA,26.25,29.52,27.32,25.1,NA,NA,"H17SR15",NA,1,NA,27.6966666666667,NA,"Northern"
"72",899,899,899,"IR","H17Sr18",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,22.2,NA,NA,NA,20.33,23.85,27.24,13.72,12.61,NA,"H17SR18",NA,1,NA,23.8066666666667,NA,"Northern"
"73",2715,2048,2048,"IR","H17Sr19",2017,"Salix richardsonii","Qikiqtaruk","2021-08-11",8,11,2021,6.8,10.4,5,12,17,18,19,18,10,14,"H17SR19",353.6,4,14,18,7.7,"Northern"
"74",902,902,902,"AC","H17Sr20",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,2.2,NA,NA,NA,11.67,10.84,NA,5.14,NA,NA,"H17SR20",NA,1,NA,NA,NA,"Northern"
"75",904,904,904,"AC","H17Sr21_clone",2017,"Salix richardsonii","Qikiqtaruk","2018-08-18",8,18,2018,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,"H17SR21_CLONE",NA,1,NA,NA,NA,"Northern"
