"","SITE","SUBSITE","TRTMT","PLOT","YEAR","SPP","STATUS","TISSUE","X","Y","Hit.Order","Abundance","Height..cm.","X.1","X.2","unique_coords"
"9517","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",9,8,NA,2,17.1,"","","98"
"9522","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,8,NA,2,21.3,"","","108"
"9556","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",8,9,NA,2,17.2,"","","89"
"9594","QHI","HE","CTL",1,2014,"SALPUL","LIVE","LEAF",10,10,NA,2,9.2,"","","1010"
"9603","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,1,NA,2,3.8,"","","31"
"9613","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",5,1,NA,2,5,"","","51"
"9618","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",6,1,NA,2,8.5,"","","61"
"9622","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",7,1,NA,1,4.2,"","","71"
"9628","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",8,1,NA,1,7.1,"","","81"
"9633","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",9,1,NA,4,11.4,"","","91"
"9666","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",5,2,NA,2,5.6,"","","52"
"9671","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",6,2,NA,1,8.3,"","","62"
"9693","QHI","HE","CTL",2,2014,"SALPUL","STANDINGDEAD","STEM",10,2,NA,1,7.9,"","","102"
"9699","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",1,3,NA,4,11.3,"","","13"
"9705","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,3,NA,2,10,"","","23"
"9711","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,3,NA,2,6.9,"","","33"
"9715","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",4,3,NA,1,5.9,"","","43"
"9742","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,4,NA,1,14.5,"","","24"
"9745","QHI","HE","CTL",2,2014,"SALPUL","LIVE","STEM",3,4,NA,1,1.8,"","","34"
"9749","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",4,4,NA,3,9,"","","44"
"9778","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",2,5,NA,1,17.1,"","","25"
"9786","QHI","HE","CTL",2,2014,"SALPUL","LIVE","LEAF",3,5,NA,1,10.4,"","","35"
