"","Bed","SampleID","Year_planted","Species","Site","Sample_Date","Month","Day","Year","Canopy_Height_cm","Width_cm","Width_2_cm","Stem_diameter","Stem_Elongation_1_mm","Stem_Elongation_2_mm","Stem_Elongation_3_mm","Length_1_mm","Length_2_mm","Length_3_mm","2022 Notes","mean_stem_elong","mean_leaf_length","mean_width"
"124","JB","H17Sa20",2017,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,6,30,27,11,50,23,22,44,42,67,NA,31.6666666666667,51,28.5
"125","JB","H15Sa7",2015,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,5.5,18,11,8,5,5,19,36,33,23,NA,9.66666666666667,30.6666666666667,14.5
"126","JB","H15Sa10",2015,"Salix arctica","Qikiqtaruk",2022-07-10,7,10,2022,6.1,31.5,33,14,44,21,14,34,31,30,NA,26.3333333333333,31.6666666666667,32.25
"127","JB","K15PSa15",2015,"Salix arctica","Kluane",2022-07-10,7,10,2022,5.5,19.2,18,9,6,14,12,46,40,32,NA,10.6666666666667,39.3333333333333,18.6
"128","JB","K15PSa12",2015,"Salix arctica","Kluane",2022-07-10,7,10,2022,6.5,27.5,30,13,4,9,6,43,40,42,NA,6.33333333333333,41.6666666666667,28.75
"129","EW","KP16Sr60",2016,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,54,43,31.5,18,78,60,165,43,44,33,NA,101,40,37.25
"130","EW","KP16Sr58",2016,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,46,65,48,21,250,230,250,40,32,41,NA,243.333333333333,37.6666666666667,56.5
"131","EW","KP16Sr57",2016,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,70,73,67,31,210,210,310,51,39,40,NA,243.333333333333,43.3333333333333,70
"132","EW","H17Sr37",2017,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,6.5,11.5,9.2,8,9,14,7,27,25,16,NA,10,22.6666666666667,10.35
"133","EW","KP18Sa8",2018,"Salix richardsonii","Kluane",2022-07-10,7,10,2022,9.5,24,17,9,11,7,10,20,19,21,NA,9.33333333333333,20,20.5
"134","EW","H18Sr27",2018,"Salix richardsonii","Qikiqtaruk",2022-07-10,7,10,2022,17,19,13,8,35,21,12,32,29,32,NA,22.6666666666667,31,16
"135","IMS","KLSpE2",2013,"Salix pulchra","Kluane",2022-07-17,7,17,2022,34,126,81,50,34,29,12,19,30,30,NA,25,26.3333333333333,103.5
"136","IMS","KLSpE3",2013,"Salix pulchra","Kluane",2022-07-17,7,17,2022,12.5,9.5,8.5,7,10,11,9,29,22,11,NA,10,20.6666666666667,9
"137","IMS","KLSpE4",2013,"Salix pulchra","Kluane",2022-07-17,7,17,2022,47.1,80.5,61,30,15,5,12,39,26,27,NA,10.6666666666667,30.6666666666667,70.75
"138","LB","KP16Sr41",2016,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,30,34,22.5,12,66,92,25,40,31,24,NA,61,31.6666666666667,28.25
"139","LB","KLSrE4",2013,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,114.5,181.5,221,121,139,100,65,50,43,47,NA,101.333333333333,46.6666666666667,201.25
"140","LB","KP17Sr2",2017,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,27.2,29,32.5,15,60,21,40,47,41,27,NA,40.3333333333333,38.3333333333333,30.75
"141","LB","H17Sr4",2017,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,5.2,15.5,5.6,23,NA,NA,NA,22,29,20,NA,NA,23.6666666666667,10.55
"142","SL","PC17Sp1",2017,"Salix pulchra","Kluane",2022-07-17,7,17,2022,25,37,40,9,143,114,320,27,45,58,NA,192.333333333333,43.3333333333333,38.5
"143","SL","KP17Sp5",2017,"Salix pulchra","Kluane",2022-07-17,7,17,2022,36,45,29,15,106,65,72,50,48,60,NA,81,52.6666666666667,37
"144","SL","H18Sp15",2018,"Salix pulchra","Qikiqtaruk",2022-07-17,7,17,2022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","GD","KP16Sr37",2016,"Salix richardsonii","Kluane",2022-07-17,7,17,2022,86,60,68,29,115,82,36,35,37,40,NA,77.6666666666667,37.3333333333333,64
"146","GD","H17Sr9",2017,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,20,30,30,13,36,17,56,31,29,26,NA,36.3333333333333,28.6666666666667,30
"147","GD","H18Sr8",2018,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,5.2,13,13,7,16,6,30,24,17,21,NA,17.3333333333333,20.6666666666667,13
"148","SW","H15Sr19",2015,"Salix richardsonii","Qikiqtaruk",2022-07-17,7,17,2022,6,15.5,14,17,6,9,6,17,22,19,NA,7,19.3333333333333,14.75
