Date & time,TMS3 number,Soil temperature -6 cm,Surface temperature,Air temperature +12 cm,period in 640 μs,error by probe,temperature correction,Volumetric soil moisture without temp correction,Vol. moisture
2021.06.26 11:30,4,214375,#VALUE!,#VALUE!,460,202,-421007,-0.043,2962.526
2021.06.26 11:45,4,#VALUE!,#VALUE!,213125,460,202,#VALUE!,-0.043,#VALUE!
2021.06.26 12:00,4,#VALUE!,#VALUE!,21375,460,202,#VALUE!,-0.043,#VALUE!
2021.06.26 12:15,4,#VALUE!,#VALUE!,21375,460,202,#VALUE!,-0.043,#VALUE!
2021.06.26 12:30,4,215625,215625,214375,461,202,-423427,-0.043,2996.978
2021.06.26 12:45,4,21625,215625,#VALUE!,461,202,-42008,-0.043,24.859
2021.06.26 13:00,4,21625,21625,#VALUE!,461,202,-42008,-0.043,24.859
2021.06.26 13:15,4,#VALUE!,21625,21625,472,202,#VALUE!,-0.042,#VALUE!
2021.06.26 13:30,4,21875,216875,22,471,202,-42453,-0.042,25.444
2021.06.26 13:45,4,22,#VALUE!,#VALUE!,472,202,476,-0.042,-0.033
2021.06.26 14:00,4,221875,21875,22375,475,202,-435173,-0.041,3167.004
2021.06.26 14:15,4,#VALUE!,22,#VALUE!,476,202,#VALUE!,-0.041,#VALUE!
2021.06.26 14:30,4,22375,22125,#VALUE!,476,202,-43411,-0.041,26.727
2021.06.26 14:45,4,#VALUE!,#VALUE!,#VALUE!,477,202,#VALUE!,-0.041,#VALUE!
2021.06.26 15:00,4,226875,22375,22625,478,202,-444872,-0.041,3310.949
2021.06.26 15:15,4,22875,#VALUE!,#VALUE!,478,202,-44383,-0.041,28.061
2021.06.26 15:30,4,230625,225625,22875,479,202,-452194,-0.041,3421.724
2021.06.26 15:45,4,#VALUE!,226875,23,480,202,#VALUE!,-0.041,#VALUE!
2021.06.26 16:00,4,23375,228125,23125,480,202,-45354,-0.041,29.426
2021.06.26 16:15,4,#VALUE!,22875,#VALUE!,481,202,#VALUE!,-0.040,#VALUE!
2021.06.26 16:30,4,23625,23,233125,482,202,-45835,-0.040,30.114
2021.06.26 16:45,4,236875,23125,23375,482,202,-464338,-0.040,3609.489
2021.06.26 17:00,4,#VALUE!,#VALUE!,#VALUE!,483,202,#VALUE!,-0.040,#VALUE!
2021.06.26 17:15,4,23875,23375,235625,483,202,-46321,-0.040,30.816
2021.06.26 17:30,4,239375,#VALUE!,23625,484,202,-469160,-0.040,3685.439
2021.06.26 17:45,4,24,235625,#VALUE!,484,202,484,-0.040,-0.032
2021.06.26 18:00,4,24125,236875,#VALUE!,485,202,-46801,-0.040,31.519
2021.06.26 18:15,4,24125,#VALUE!,23875,485,202,-46801,-0.040,31.519
2021.06.26 18:30,4,241875,23875,23875,485,202,-474023,-0.040,3762.830
2021.06.26 18:45,4,#VALUE!,239375,23875,486,202,#VALUE!,-0.040,#VALUE!
2021.06.26 19:00,4,#VALUE!,24,23875,486,202,#VALUE!,-0.040,#VALUE!
2021.06.26 19:15,4,#VALUE!,24125,239375,486,202,#VALUE!,-0.040,#VALUE!
2021.06.26 19:30,4,#VALUE!,24125,239375,486,202,#VALUE!,-0.040,#VALUE!
2021.06.26 19:45,4,#VALUE!,241875,239375,486,202,#VALUE!,-0.040,#VALUE!
2021.06.26 20:00,4,#VALUE!,#VALUE!,24,486,202,#VALUE!,-0.040,#VALUE!
2021.06.26 20:15,4,#VALUE!,#VALUE!,239375,487,202,#VALUE!,-0.040,#VALUE!
2021.06.26 20:30,4,241875,243125,239375,486,202,-473981,-0.040,3762.152
2021.06.26 20:45,4,24125,243125,23875,486,202,-46796,-0.040,31.511
2021.06.26 21:00,4,24125,24375,#VALUE!,486,202,-46796,-0.040,31.511
2021.06.26 21:15,4,24,243125,236875,486,202,486,-0.040,-0.032
2021.06.26 21:30,4,239375,243125,#VALUE!,486,202,-469077,-0.040,3684.112
2021.06.26 21:45,4,23875,#VALUE!,23375,485,202,-46310,-0.040,30.801
2021.06.26 22:00,4,#VALUE!,#VALUE!,#VALUE!,485,202,#VALUE!,-0.040,#VALUE!
2021.06.26 22:15,4,23625,241875,231875,485,202,-45820,-0.040,30.092
2021.06.26 22:30,4,#VALUE!,24125,230625,484,202,#VALUE!,-0.040,#VALUE!
2021.06.26 22:45,4,234375,240625,23,484,202,-459350,-0.040,3531.758
2021.06.26 23:00,4,23375,24,22875,484,202,-45334,-0.040,29.398
2021.06.26 23:15,4,#VALUE!,23875,228125,483,202,#VALUE!,-0.040,#VALUE!
2021.06.26 23:30,4,#VALUE!,238125,#VALUE!,483,202,#VALUE!,-0.040,#VALUE!
2021.06.26 23:45,4,23125,#VALUE!,22625,482,202,-44854,-0.040,28.719
2021.06.27 00:00,4,23,23625,225625,482,202,484,-0.040,-0.032
2021.06.27 00:15,4,23,235625,#VALUE!,481,202,483,-0.040,-0.032
2021.06.27 00:30,4,22875,#VALUE!,224375,481,202,-44368,-0.040,28.041
2021.06.27 00:45,4,22875,23375,22375,481,202,-44368,-0.040,28.041
2021.06.27 01:00,4,22875,#VALUE!,22375,480,202,-44373,-0.041,28.047
2021.06.27 01:15,4,22875,#VALUE!,22375,480,202,-44373,-0.041,28.047
2021.06.27 01:30,4,228125,23125,#VALUE!,480,202,-447246,-0.041,3346.669
2021.06.27 01:45,4,#VALUE!,23125,#VALUE!,479,202,#VALUE!,-0.041,#VALUE!
2021.06.27 02:00,4,#VALUE!,23,22125,479,202,#VALUE!,-0.041,#VALUE!
2021.06.27 02:15,4,22625,23,22125,479,202,-43887,-0.041,27.377
2021.06.27 02:30,4,22625,22875,22,478,202,-43892,-0.041,27.383
2021.06.27 02:45,4,225625,22875,22,478,202,-442418,-0.041,3274.228
2021.06.27 03:00,4,#VALUE!,#VALUE!,219375,478,202,#VALUE!,-0.041,#VALUE!
2021.06.27 03:15,4,#VALUE!,#VALUE!,21875,478,202,#VALUE!,-0.041,#VALUE!
2021.06.27 03:30,4,#VALUE!,22625,21875,477,202,#VALUE!,-0.041,#VALUE!
2021.06.27 03:45,4,224375,22625,21875,477,202,-440003,-0.041,3238.295
2021.06.27 04:00,4,22375,225625,218125,477,202,-43406,-0.041,26.721
2021.06.27 04:15,4,22375,#VALUE!,#VALUE!,477,202,-43406,-0.041,26.721
2021.06.27 04:30,4,22375,#VALUE!,#VALUE!,477,202,-43406,-0.041,26.721
2021.06.27 04:45,4,22375,224375,#VALUE!,476,202,-43411,-0.041,26.727
2021.06.27 05:00,4,22375,22375,#VALUE!,476,202,-43411,-0.041,26.727
2021.06.27 05:15,4,223125,22375,#VALUE!,476,202,-437588,-0.041,3202.553
2021.06.27 05:30,4,#VALUE!,22375,#VALUE!,476,202,#VALUE!,-0.041,#VALUE!
2021.06.27 05:45,4,#VALUE!,22375,#VALUE!,476,202,#VALUE!,-0.041,#VALUE!
2021.06.27 06:00,4,221875,223125,216875,475,202,-435173,-0.041,3167.004
2021.06.27 06:15,4,22125,#VALUE!,216875,475,202,-42925,-0.041,26.072
2021.06.27 06:30,4,22125,#VALUE!,#VALUE!,475,202,-42925,-0.041,26.072
2021.06.27 06:45,4,221875,#VALUE!,#VALUE!,475,202,-435173,-0.041,3167.004
2021.06.27 07:00,4,221875,#VALUE!,#VALUE!,475,202,-435173,-0.041,3167.004
2021.06.27 07:15,4,#VALUE!,221875,#VALUE!,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 07:30,4,#VALUE!,221875,#VALUE!,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 07:45,4,#VALUE!,221875,218125,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 08:00,4,#VALUE!,221875,21875,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 08:15,4,#VALUE!,221875,21875,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 08:30,4,#VALUE!,221875,21875,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 08:45,4,#VALUE!,#VALUE!,21875,475,202,#VALUE!,-0.041,#VALUE!
2021.06.27 09:00,4,223125,#VALUE!,21875,475,202,-437627,-0.041,3203.130
2021.06.27 09:15,4,223125,#VALUE!,21875,475,202,-437627,-0.041,3203.130
2021.06.27 09:30,4,223125,#VALUE!,219375,476,202,-437588,-0.041,3202.553
2021.06.27 09:45,4,22375,#VALUE!,22,476,202,-43411,-0.041,26.727
2021.06.27 10:00,4,22375,#VALUE!,22125,476,202,-43411,-0.041,26.727
2021.06.27 10:15,4,#VALUE!,22375,226875,481,202,#VALUE!,-0.040,#VALUE!
2021.06.27 10:30,4,#VALUE!,224375,230625,490,202,#VALUE!,-0.039,#VALUE!
2021.06.27 10:45,4,22875,225625,#VALUE!,491,202,-44319,-0.039,27.973
2021.06.27 11:00,4,23,226875,23375,490,202,492,-0.039,-0.031
2021.06.27 11:15,4,23125,228125,#VALUE!,491,202,-44809,-0.039,28.656
2021.06.27 11:30,4,231875,23,235625,492,202,-454119,-0.039,3451.159
2021.06.27 11:45,4,#VALUE!,230625,23625,493,202,#VALUE!,-0.039,#VALUE!
2021.06.27 12:00,4,23375,231875,236875,494,202,-45284,-0.039,29.327
2021.06.27 12:15,4,234375,#VALUE!,236875,494,202,-458939,-0.039,3525.391
2021.06.27 12:30,4,#VALUE!,23375,#VALUE!,495,202,#VALUE!,-0.039,#VALUE!
2021.06.27 12:45,4,23625,#VALUE!,23625,495,202,-45769,-0.039,30.020
2021.06.27 13:00,4,23625,#VALUE!,23375,495,202,-45769,-0.039,30.020
2021.06.27 13:15,4,23625,235625,231875,495,202,-45769,-0.039,30.020
2021.06.27 13:30,4,23625,23625,230625,496,202,-45764,-0.038,30.013
2021.06.27 13:45,4,23625,23625,22875,496,202,-45764,-0.038,30.013
2021.06.27 14:00,4,23625,23625,22875,496,202,-45764,-0.038,30.013
2021.06.27 14:15,4,235625,23625,228125,496,202,-461306,-0.038,3562.148
2021.06.27 14:30,4,#VALUE!,23625,22875,495,202,#VALUE!,-0.039,#VALUE!
2021.06.27 14:45,4,#VALUE!,235625,229375,495,202,#VALUE!,-0.039,#VALUE!
2021.06.27 15:00,4,#VALUE!,235625,23,495,202,#VALUE!,-0.039,#VALUE!
2021.06.27 15:15,4,#VALUE!,235625,23125,495,202,#VALUE!,-0.039,#VALUE!
2021.06.27 15:30,4,#VALUE!,#VALUE!,#VALUE!,496,202,#VALUE!,-0.038,#VALUE!
2021.06.27 15:45,4,#VALUE!,235625,23625,495,202,#VALUE!,-0.039,#VALUE!
2021.06.27 16:00,4,23625,235625,24,495,202,-45769,-0.039,30.020
2021.06.27 16:15,4,23625,23625,#VALUE!,496,202,-45764,-0.038,30.013
